canonical_game_id,season_label,game_date,date_precision,team_a_key,team_b_key,team_a_score,team_b_score,result_winner_team_key,overtime_periods,site_type,designated_home_team_key,venue_key,site_city,site_state,game_type,postseason_round,administrative_status,administrative_note,canonical_status,notes
CBBG-0000095,1911-1912,1912-02-22,EXACT,kansas,missouri,32,26,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000096,1912-1913,1913-01-06,EXACT,central-methodist,missouri,24,39,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000097,1912-1913,1913-01-13,EXACT,central-methodist,missouri,22,23,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000098,1912-1913,1913-01-16,EXACT,iowa-state,missouri,14,28,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000099,1912-1913,1913-01-17,EXACT,iowa-state,missouri,13,25,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000100,1912-1913,1913-01-21,EXACT,kansas-state,missouri,32,18,kansas-state,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000101,1912-1913,1913-01-22,EXACT,kansas-state,missouri,34,27,kansas-state,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000102,1912-1913,1913-02-05,EXACT,missouri,washington-university-of-st-louis,29,11,missouri,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000103,1912-1913,1913-02-06,EXACT,missouri,washington-university-of-st-louis,38,13,missouri,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000104,1912-1913,1913-02-10,EXACT,iowa-state,missouri,13,33,missouri,0,TEAM_A_HOME,iowa-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000105,1912-1913,1913-02-11,EXACT,iowa-state,missouri,23,24,missouri,0,TEAM_A_HOME,iowa-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000106,1912-1913,1913-02-12,EXACT,kansas-state,missouri,24,25,missouri,0,TEAM_A_HOME,kansas-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000107,1912-1913,1913-02-14,EXACT,kansas,missouri,22,12,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000108,1912-1913,1913-02-15,EXACT,kansas,missouri,34,20,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000109,1912-1913,1913-02-17,EXACT,missouri,washington-university-of-st-louis,23,15,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000110,1912-1913,1913-02-18,EXACT,missouri,washington-university-of-st-louis,33,31,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000111,1912-1913,1913-02-22,EXACT,missouri,william-jewell,31,20,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000112,1912-1913,1913-02-26,EXACT,kansas,missouri,20,26,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000113,1912-1913,1913-02-27,EXACT,kansas,missouri,34,26,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000114,1913-1914,1914-01-12,EXACT,iowa-state,missouri,19,32,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000115,1913-1914,1914-01-13,EXACT,iowa-state,missouri,9,37,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000116,1913-1914,1914-02-04,EXACT,missouri,washington-university-of-st-louis,28,20,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000117,1913-1914,1914-02-05,EXACT,missouri,washington-university-of-st-louis,15,23,washington-university-of-st-louis,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000118,1913-1914,1914-02-11,EXACT,kansas,missouri,28,25,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000119,1913-1914,1914-02-12,EXACT,kansas,missouri,27,21,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000120,1913-1914,1914-02-13,EXACT,iowa-state,missouri,23,20,iowa-state,0,TEAM_A_HOME,iowa-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000121,1913-1914,1914-02-14,EXACT,iowa-state,missouri,16,23,missouri,0,TEAM_A_HOME,iowa-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000122,1913-1914,1914-02-18,EXACT,kansas-state,missouri,35,32,kansas-state,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000123,1913-1914,1914-02-19,EXACT,kansas-state,missouri,22,21,kansas-state,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000124,1913-1914,1914-02-25,EXACT,kansas,missouri,38,22,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000125,1913-1914,1914-02-26,EXACT,kansas,missouri,31,18,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000126,1913-1914,1914-02-27,EXACT,kansas-state,missouri,32,20,kansas-state,0,TEAM_A_HOME,kansas-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000127,1913-1914,1914-02-28,EXACT,kansas-state,missouri,24,23,kansas-state,0,TEAM_A_HOME,kansas-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000128,1913-1914,1914-03-02,EXACT,missouri,washington-university-of-st-louis,17,27,washington-university-of-st-louis,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000129,1913-1914,1914-03-03,EXACT,missouri,washington-university-of-st-louis,19,27,washington-university-of-st-louis,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000130,1914-1915,1915-01-16,EXACT,missouri,tarkio,29,11,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000131,1914-1915,1915-01-17,EXACT,central-methodist,missouri,23,39,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000132,1914-1915,1915-02-08,EXACT,missouri,washington-university-of-st-louis,52,18,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
