source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes
MIZ-HIST-00061,missouri,historical_media_guide,1909-1910,1910,1910-02-14,Drake,Drake,drake,Yes,28,7,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 14 @ Drake W 28-7,opponent_resolved_site_pending,
MIZ-HIST-00062,missouri,historical_media_guide,1909-1910,1910,1910-02-15,Iowa State,Iowa State,iowa-state,Yes,11,13,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 15 @ Iowa State L 11-13,opponent_resolved_site_pending,
MIZ-HIST-00063,missouri,historical_media_guide,1909-1910,1910,1910-02-16,Iowa,Iowa,iowa,Yes,6,20,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 16 @ Iowa L 6-20,opponent_resolved_site_pending,
MIZ-HIST-00064,missouri,historical_media_guide,1909-1910,1910,1910-02-21,Kansas,Kansas,kansas,Yes,21,25,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 21 Kansas L 21-25,opponent_resolved_site_pending,
MIZ-HIST-00065,missouri,historical_media_guide,1909-1910,1910,1910-02-22,Kansas,Kansas,kansas,Yes,22,58,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 22 Kansas L 22-58,opponent_resolved_site_pending,
MIZ-HIST-00066,missouri,historical_media_guide,1909-1910,1910,1910-02-28,Washington (Mo.),Washington University of St. Louis,washington-university-of-st-louis,No,12,24,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 28 @ Washington (Mo.) L 12-24,opponent_resolved_site_pending,
MIZ-HIST-00067,missouri,historical_media_guide,1909-1910,1910,1910-03-01,Washington (Mo.),Washington University of St. Louis,washington-university-of-st-louis,No,13,35,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Mar. 1 @ Washington (Mo.) L 13-35,opponent_resolved_site_pending,
MIZ-HIST-00068,missouri,historical_media_guide,1909-1910,1910,1910-03-23,Mo. Athletic Club,Missouri Athletic Club,missouri-athletic-club,No,22,32,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Mar. 23 Mo. Athletic Club L 22-32,opponent_resolved_site_pending,
MIZ-HIST-00069,missouri,historical_media_guide,1910-1911,1911,1911-01-13,Iowa State,Iowa State,iowa-state,Yes,40,22,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 13 Iowa State W 40-22,opponent_resolved_site_pending,
MIZ-HIST-00070,missouri,historical_media_guide,1910-1911,1911,1911-01-14,Iowa State,Iowa State,iowa-state,Yes,43,26,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 14 Iowa State W 43-26,opponent_resolved_site_pending,
MIZ-HIST-00071,missouri,historical_media_guide,1910-1911,1911,1911-01-27,Kansas,Kansas,kansas,Yes,28,34,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Jan. 27 @ Kansas L 28-34,opponent_resolved_site_pending,
MIZ-HIST-00072,missouri,historical_media_guide,1910-1911,1911,1911-01-28,Kansas,Kansas,kansas,Yes,15,27,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Jan. 28 @ Kansas L 15-27,opponent_resolved_site_pending,
MIZ-HIST-00073,missouri,historical_media_guide,1910-1911,1911,1911-02-08,Nebraska,Nebraska,nebraska,Yes,39,26,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 8 Nebraska W 39-26,opponent_resolved_site_pending,
